input;Ray at angle: 90;Ray at angle: 81;Ray at angle: 99;Ray at angle: 72;Ray at angle: 108;Ray at angle: 63;Ray at angle: 117;Ray at angle: 54;Ray at angle: 126;Ray at angle: 45;Ray at angle: 135;Ray at angle: 36;Ray at angle: 144;Ray at angle: 27;Ray at angle: 153;Ray at angle: 18;Ray at angle: 162;Ray at angle: 9;Ray at angle: 171;Ray at angle: 0;Ray at angle: 180
-0.1778235;1;0.5840567;1;0.3991971;0.994693;0.3053983;0.5165533;0.250188;0.351376;0.2152895;0.2747476;0.1924425;0.2319319;0.1773278;0.2058923;0.1680045;0.1899855;0.1630062;0.1808331;0.1619116;0.177316
-0.1472775;1;0.5844064;1;0.3989828;0.98967;0.3051675;0.5161574;0.2499673;0.3515036;0.2150566;0.2749551;0.1922284;0.2320969;0.1771587;0.2060618;0.1678468;0.1901322;0.1629195;0.1809849;0.1618176;0.1774116
-0.108675;1;0.5844064;1;0.3989828;0.98967;0.3051675;0.5161574;0.2499673;0.3515036;0.2150566;0.2749551;0.1922284;0.2320969;0.1771587;0.2060618;0.1678468;0.1901322;0.1629195;0.1809849;0.1618176;0.1774116
-0.07937354;1;0.5876969;1;0.4002186;0.9775591;0.3057861;0.5130815;0.2503038;0.350446;0.2152111;0.27448;0.1923045;0.2318259;0.1772052;0.2059178;0.1678518;0.1900498;0.1629579;0.1809659;0.1617948;0.1773862
-0.04416202;1;0.5899931;1;0.4009159;0.968206;0.3064746;0.5110662;0.250522;0.3497855;0.2153045;0.2741934;0.1923544;0.2316474;0.1772493;0.205815;0.1678737;0.1899745;0.1630276;0.180929;0.1618074;0.1773706
-0.007585246;1;0.5899931;1;0.4009159;0.968206;0.3064746;0.5110662;0.250522;0.3497855;0.2153045;0.2741934;0.1923544;0.2316474;0.1772493;0.205815;0.1678737;0.1899745;0.1630276;0.180929;0.1618074;0.1773706
0;1;0.5910288;1;0.4011253;0.9651639;0.3062502;0.5110019;0.2505683;0.3498895;0.2154768;0.2742905;0.1923666;0.2317061;0.1772981;0.2058238;0.1679089;0.1899462;0.1631157;0.1808949;0.1618705;0.1772071
-0.0405802;1;0.5910288;1;0.4011253;0.9651639;0.3062502;0.5110019;0.2505683;0.3498895;0.2154768;0.2742905;0.1923666;0.2317061;0.1772981;0.2058238;0.1679089;0.1899462;0.1631157;0.1808949;0.1618705;0.1772071
-0.07249808;1;0.5918999;1;0.4012066;0.9576434;0.3061575;0.50951;0.2504665;0.3494363;0.2152727;0.2743014;0.1925171;0.2316289;0.1772743;0.2057612;0.1679028;0.1898946;0.1630723;0.1808676;0.1618976;0.1771392
-0.1072204;1;0.5918999;1;0.4012066;0.9576434;0.3061575;0.50951;0.2504665;0.3494363;0.2152727;0.2743014;0.1925171;0.2316289;0.1772743;0.2057612;0.1679028;0.1898946;0.1630723;0.1808676;0.1618976;0.1771392
